seriesId,seriesName,prizeId,prizeGroup,prizeName,quantity,holderCount,tokenIds,holders
29,Custom Chiikawa Miniso Sleepwear Party Series,7,F,F1,1,1,1084,0xb455244aa0135c0cd7e25ca20d699a137ed32f1c
29,Custom Chiikawa Miniso Sleepwear Party Series,8,G,G1,1,1,1086,0xb455244aa0135c0cd7e25ca20d699a137ed32f1c
30,Chiikawa Figure by Good Smile Company,12,L,L1,1,1,1202,0xb90001588e24d7c5031556a9b6b08c614995ce37
32,APPLE SERIES - AirPods Pro 2nd (USB-C),2,B,B1,3,2,2342|2343|2643,0x65f1467fda9dd7adea137378f6f7f4202eed22c1|0x7e91104c72aea47b9537ba83438ad7e387c321a6
32,APPLE SERIES - AirPods Pro 2nd (USB-C),3,DOUDO_10,DOUDO COIN 10,11,2,2293|2339|2340|2341|2344|2345|2346|2347|2348|2349|2350,0x7e91104c72aea47b9537ba83438ad7e387c321a6|0xf583d136423278c746c30dcdb569c44a3b0341a2
33,Dragon Ball DAIMA,2,B,B1,1,1,1117,0x467cee70e2b15a6868e318f02d713901a5b59408
33,Dragon Ball DAIMA,7,G,G1,4,1,1106|1112|1113|1118,0x467cee70e2b15a6868e318f02d713901a5b59408
33,Dragon Ball DAIMA,8,H,H1,4,1,1104|1109|1116|1120,0x467cee70e2b15a6868e318f02d713901a5b59408
33,Dragon Ball DAIMA,9,I,I1,3,1,1111|1115|1119,0x467cee70e2b15a6868e318f02d713901a5b59408
33,Dragon Ball DAIMA,10,J,J1,7,1,1103|1105|1107|1108|1110|1114|1121,0x467cee70e2b15a6868e318f02d713901a5b59408
35,NARUTO SHIPPUDEN - Red Eyes Reflecting the Heart,6,F,F1,13,1,2006|2009|2013|2016|2017|2020|2023|2035|2036|2038|2041|2045|2066,0x7a779f98902e3e7f35ea7bd153d81a88acbe40b7
35,NARUTO SHIPPUDEN - Red Eyes Reflecting the Heart,7,G,G1,16,1,2005|2014|2018|2025|2029|2031|2033|2037|2044|2048|2050|2051|2061|2062|2067|2069,0x7a779f98902e3e7f35ea7bd153d81a88acbe40b7
35,NARUTO SHIPPUDEN - Red Eyes Reflecting the Heart,8,H,H1,14,1,2007|2010|2011|2022|2024|2034|2042|2043|2049|2052|2053|2058|2059|2064,0x7a779f98902e3e7f35ea7bd153d81a88acbe40b7
35,NARUTO SHIPPUDEN - Red Eyes Reflecting the Heart,9,I,I1,17,1,2003|2004|2008|2012|2015|2019|2021|2026|2028|2030|2032|2040|2054|2055|2056|2063|2068,0x7a779f98902e3e7f35ea7bd153d81a88acbe40b7
39,"Line Group - All Usagi Prize, Full of Usagi!",3,DOUDO_10,DOUDO COIN 10,1,1,1460,0x6beb8db4422e82c2f5b5297e5460eb6b8042ee23
41,Threads - Chiikawa Ichiban kuji,1,DOUDO_50,DOUDO COIN 50,1,1,1529,0xf583d136423278c746c30dcdb569c44a3b0341a2
41,Threads - Chiikawa Ichiban kuji,999,LAST,Last Prize,2,2,1543|1544,0x900ec54beda87a15f7fd4427063c6d560c07c6bf|0xb2cd97f80826f4158b2adb84ec97ca36a121c099
46,Demon Slayer: Kimetsu no Yaiba MASTERLISE Dream Edition,5,D,D1,1,1,2137,0x67f025f97e6d40fd9ed75d0a7cbe91ddfe073fa2
46,Demon Slayer: Kimetsu no Yaiba MASTERLISE Dream Edition,7,F,F1,1,1,2619,0xe0bde167ce0e4ab7bd148676ae0908d481bfdc25
46,Demon Slayer: Kimetsu no Yaiba MASTERLISE Dream Edition,8,G,G1,2,2,1925|2618,0x267f617ccaf1675d97a3434bdf4d4830788f2f76|0xe0bde167ce0e4ab7bd148676ae0908d481bfdc25
46,Demon Slayer: Kimetsu no Yaiba MASTERLISE Dream Edition,9,H,H1,3,2,2136|2266|2267,0x32371ffdfdf4f863c44190f69dd7691d5a488b5c|0x67f025f97e6d40fd9ed75d0a7cbe91ddfe073fa2
48,Usaqi Giant Octopus Series,11,J,J1,2,1,1993|1994,0x29750f2f2d83715fe61b27790ca458409f9a1eb2
49,Attack on Titan - World Outside the Walls Dream Edition,8,G,G1,2,2,2103|2111,0x29750f2f2d83715fe61b27790ca458409f9a1eb2|0xf583d136423278c746c30dcdb569c44a3b0341a2
49,Attack on Titan - World Outside the Walls Dream Edition,9,H,H1,3,1,2104|2105|2109,0x29750f2f2d83715fe61b27790ca458409f9a1eb2
50,Minecraft Surprise Block Design BOX,10,I,I1,1,1,2617,0xe0bde167ce0e4ab7bd148676ae0908d481bfdc25
51,Harry Potter Magical Dessert Party,8,G,G1,1,1,2612,0xed26df71d0278d429d7ec5536b6f9d9e2717d94d
52,Childhood Series Keroro Gunso,11,J,J1,1,1,2186,0x29750f2f2d83715fe61b27790ca458409f9a1eb2
55,Demon Slayer: Upper Rank Three - Akaza,2,A,A1,1,1,2249,0x5fa5cb8cb9bfc2a95d2ad355556b8efeb0c1950b
55,Demon Slayer: Upper Rank Three - Akaza,3,B,B1,1,1,2250,0x67f025f97e6d40fd9ed75d0a7cbe91ddfe073fa2
55,Demon Slayer: Upper Rank Three - Akaza,6,E,E1,2,1,2254|2259,0x67f025f97e6d40fd9ed75d0a7cbe91ddfe073fa2
55,Demon Slayer: Upper Rank Three - Akaza,7,F,F1,7,2,2241|2246|2251|2252|2253|2255|2256,0x5fa5cb8cb9bfc2a95d2ad355556b8efeb0c1950b|0x67f025f97e6d40fd9ed75d0a7cbe91ddfe073fa2
55,Demon Slayer: Upper Rank Three - Akaza,8,G,G1,5,2,2240|2242|2245|2247|2257,0x5fa5cb8cb9bfc2a95d2ad355556b8efeb0c1950b|0x67f025f97e6d40fd9ed75d0a7cbe91ddfe073fa2
55,Demon Slayer: Upper Rank Three - Akaza,9,H,H1,4,2,2243|2244|2248|2258,0x5fa5cb8cb9bfc2a95d2ad355556b8efeb0c1950b|0x67f025f97e6d40fd9ed75d0a7cbe91ddfe073fa2
58,Demon Slayer Mugen Train Edition,1,A,A1,1,1,2613,0x5027a19ea2146a8f2d3558698727c90230a3440d
59,Berserk The Oath of Counterattack - Last Prize Dream Edition,7,F,F1,6,2,2332|2382|2383|2384|2385|2740,0x705b8d813e947c8685f0c9d0fca3ff2066062503|0xdf6574cd56818f6433e550e49eb5fb2d7b90ff33
59,Berserk The Oath of Counterattack - Last Prize Dream Edition,8,G,G1,2,1,2744|2745,0xdf6574cd56818f6433e550e49eb5fb2d7b90ff33
59,Berserk The Oath of Counterattack - Last Prize Dream Edition,9,H,H1,3,1,2739|2746|2747,0xdf6574cd56818f6433e550e49eb5fb2d7b90ff33
60,Demon Slayer: Kimetsu no Yaiba ~Thunder Brothers~,5,D,D1,1,1,2614,0x705b8d813e947c8685f0c9d0fca3ff2066062503
60,Demon Slayer: Kimetsu no Yaiba ~Thunder Brothers~,7,F,F1,1,1,2616,0x5027a19ea2146a8f2d3558698727c90230a3440d
60,Demon Slayer: Kimetsu no Yaiba ~Thunder Brothers~,8,G,G1,4,2,2352|2353|2354|2615,0x5027a19ea2146a8f2d3558698727c90230a3440d|0xe0bde167ce0e4ab7bd148676ae0908d481bfdc25
63,Godzilla vs King Ghidorah - Super Dragon King Ghidorah,3,DOUDO_50,C1,9,1,2404|2409|2414|2416|2421|2424|2425|2429|2436,0x5027a19ea2146a8f2d3558698727c90230a3440d
63,Godzilla vs King Ghidorah - Super Dragon King Ghidorah,4,DOUDO_10,D1,25,1,2405|2406|2407|2408|2410|2411|2412|2413|2415|2417|2418|2419|2420|2422|2423|2426|2427|2428|2430|2431|2432|2433|2434|2435|2437,0x5027a19ea2146a8f2d3558698727c90230a3440d
64,My Hero Academia - Toward a More Distant Future,11,J,J1,1,1,2472,0x29750f2f2d83715fe61b27790ca458409f9a1eb2
64,My Hero Academia - Toward a More Distant Future,12,K,K1,1,1,2621,0x0edf05a2d27ba54dee62aed61f84ace138351911
64,My Hero Academia - Toward a More Distant Future,13,L,L1,1,1,2743,0xe7a81e93c88852cab09f140c1d7f3cd37f90dd8b
